Name,Ratings,Description,Highly Rated for,Critical Rated for,Reviews,Salaries,Interviews,Jobs,Benefits
SBI Life Insurance Company,3.7,Insurance | Mumbai +677 other locations,Job Security,"Promotions, Work Life Balance, Work Satisfaction",5.4k,12.2k,332,12,349
CBRE,4.1,Real Estate | Hyderabad +98 other locations,"Company Culture, Work Life Balance, Job Security",,5.4k,19.7k,373,33,489
JustDial,3.5,Internet | Noida +240 other locations,"Promotions, Work Satisfaction, Job Security",,5.3k,15.7k,408,20,368
TVS Motor,3.8,Automobile | Hosur +361 other locations,"Job Security, Skill Development, Salary",Promotions,5.3k,17.1k,439,234,565
State Bank of India,3.9,Banking | Mumbai +678 other locations,"Job Security, Skill Development, Salary",,5.3k,12k,353,10,415
Persistent Systems,3.6,IT Services & Consulting | Pune +42 other locations,"Promotions, Job Security, Work Satisfaction",,5.3k,48.6k,742,452,406
KEC International,4.0,Engineering & Construction | Mumbai +326 other locations,"Job Security, Salary, Company Culture",Promotions,5.2k,14.1k,448,34,479
ITC Infotech,3.9,IT Services & Consulting | Bengaluru +71 other locations,"Work Life Balance, Job Security",Promotions,5.2k,30.4k,434,113,305
Amdocs,3.6,Software Product | Pune +24 other locations,Company Culture,"Promotions, Job Security, Work Satisfaction",5.1k,38.2k,575,--,634
Atos,3.8,IT Services & Consulting | Pune +57 other locations,Work Life Balance,"Promotions, Salary",5.1k,33k,422,119,477
Utkarsh Small Finance Bank,3.6,Banking | Varanasi +444 other locations,"Promotions, Company Culture, Work Satisfaction",,5.1k,11.8k,342,63,301
Varun Beverages,3.9,Beverage | New Delhi +390 other locations,"Job Security, Work Life Balance",Promotions,5k,12.5k,365,19,335
JBM Group,3.9,Auto Components | Gurugram +122 other locations,"Job Security, Skill Development",Promotions,5k,14.3k,378,45,365
vivo,4.0,Consumer Electronics & Appliances | Noida +422 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions,5k,12.9k,251,28,630
Lenskart,3.4,Internet | New Delhi +265 other locations,"Promotions, Company Culture, Work Life Balance",,5k,14.1k,550,261,366
Randstad,3.7,Recruitment | Hyderabad +376 other locations,"Promotions, Job Security, Work Satisfaction",,4.9k,17.9k,349,26,362
Ecom Express,4.1,Logistics | Gurugram +795 other locations,"Work Life Balance, Company Culture, Work Satisfaction",,4.9k,9.1k,270,--,307
Nagarro,3.9,IT Services & Consulting | Gurugram +50 other locations,"Work Life Balance, Company Culture",Promotions,4.9k,34.5k,847,331,1.1k
Hetero,3.9,Pharma | Hyderabad +74 other locations,"Job Security, Work Life Balance",Promotions,4.9k,15.7k,463,134,392
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Bengaluru +58 other locations,"Promotions, Work Satisfaction, Work Life Balance",,4.9k,55k,936,20,366
Intas Pharmaceuticals,4.1,Pharma | Ahmedabad +157 other locations,"Job Security, Salary, Work Life Balance",,4.8k,18.2k,277,47,406
Bosch,4.1,Auto Components | Bengaluru +140 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,4.8k,21.5k,393,--,616
